symbol,last,percentChange,volume,value,marketCap,pe,pbv,deRatio,dps,eps,roa,roe,netProfitMargin,dividendYield,bookValuePerShare,listedShare
EGATIF,6.050000,-0.819672,31189.000000,188.963,12721550000.000000,,0.820000,,0.069600,,,,,8.190000,7.470000,2085500000.000000
EGCO,130.000000,-0.383142,465024.000000,60388.309,68703682500.000000,129.390000,0.680000,1.213338,3.250000,2.920000,3.327181,0.515514,8.223593,4.980000,192.100000,526465000.000000
EKH,5.200000,0.000000,164425.000000,854.004,4449101264.400000,15.350000,1.860000,0.138208,0.300000,0.150000,13.332261,12.062951,20.866063,5.770000,2.800000,855596397.000000
EMC,0.020000,0.000000,4595100.000000,61.901,251412663.600000,,0.310000,1.011071,,-0.010000,-12.964741,-27.696486,-61.224722,,0.060000,12570633180.000000
EMPIRE,,,,,157625000.000000,,1.120000,4.377647,,-0.130000,-36.434281,-131.133980,-104.595663,,0.220000,630500000.000000
EP,1.130000,0.000000,11000.000000,12.430,1053733019.610000,,0.510000,2.567501,0.250000,0.110000,-6.415109,-30.617888,14.732488,,2.210000,932507097.000000
EPG,6.000000,0.840336,12270115.000000,73884.614,16660000000.000000,11.330000,1.200000,0.549383,0.130000,0.160000,8.523562,11.066335,12.058708,3.360000,4.950000,2800000000.000000
ERW,3.800000,-1.554404,2052308.000000,7841.393,18863547595.939999,21.500000,2.070000,1.649554,0.070000,0.090000,6.070867,9.839265,11.329289,1.810000,1.870000,4886929429.000000
ESTAR,0.250000,0.000000,100.000000,0.025,1255561546.250000,7.800000,0.260000,0.462570,0.020000,0.010000,2.905411,3.299644,4.180656,8.000000,0.980000,5022246185.000000
ETC,0.770000,0.000000,6966200.000000,5372.319,1724800000.000000,3.270000,0.500000,0.059586,0.048000,0.030000,15.057873,16.303597,19.675690,6.230000,1.540000,2240000000.000000
ETE,0.600000,3.448276,110000.000000,65.464,324800000.000000,,0.340000,1.400159,0.030000,0.030000,2.011675,-1.033521,2.530754,,1.700000,560000000.000000
ETL,0.420000,2.439024,224000.000000,91.861,254200000.000000,,0.450000,1.475426,,-0.040000,-4.733386,-6.901806,-3.095353,,0.900000,620000000.000000
EURO,7.000000,-0.709220,50000.000000,350.000,2150250000.000000,12.940000,2.230000,1.361639,0.250000,0.290000,10.410364,17.936971,11.546917,3.570000,3.170000,305000000.000000
EVER,0.060000,-14.285714,238400.000000,14.304,339835058.640000,,0.230000,2.385530,,-0.040000,1.287082,-11.172706,-34.914283,,0.300000,4854786552.000000
F&D,41.000000,-8.890000,500.000000,20.500,722596628.000000,,0.490000,0.730709,2.550000,-1.330000,0.476653,-1.899365,-11.990849,,83.310000,17624308.000000
FANCY,0.190000,-5.000000,12100.000000,2.370,123000000.000000,,0.160000,0.036711,,-0.110000,-8.725218,-9.051875,-106.331857,,1.240000,615000000.000000
FE,,,,,1495300000.000000,14.210000,1.030000,0.188946,8.500000,4.440000,7.601028,7.302662,10.295133,4.470000,184.700000,7870000.000000
FLOYD,1.150000,0.877193,5000.000000,5.750,506664864.960000,8.140000,0.990000,0.205031,0.100000,0.040000,12.119436,12.392024,13.741677,8.770000,1.150000,444442864.000000
FM,4.220000,-0.471698,452915.000000,1915.082,4188390084.000000,6.250000,1.070000,0.285039,0.150000,0.380000,16.294104,17.947694,10.451949,8.250000,3.940000,987827850.000000
FMT,18.100000,-0.549451,400.000000,7.240,873600000.000000,,0.610000,1.673154,1.000000,1.330000,0.829150,-1.570045,1.580381,,29.660000,48000000.000000
FN,0.440000,-4.347826,19100.000000,8.406,460000000.000000,,0.540000,0.250902,0.003700,-0.030000,-1.611367,-6.685885,-10.449577,,0.860000,1000000000.000000
FNS,0.470000,-2.083333,1400.000000,0.671,240312511.200000,,0.270000,1.538603,0.200000,-0.670000,-23.260147,-59.571681,-131.311222,,1.780000,500651065.000000
FORTH,15.100000,2.027027,2345738.000000,35028.144,13843545560.000000,13.280000,4.650000,2.083184,0.150000,0.430000,14.020625,40.833550,10.042558,1.420000,3.190000,935374700.000000
FPI,1.680000,0.000000,10900.000000,18.262,2541890289.120000,8.100000,0.940000,0.857881,0.040000,0.120000,9.952035,12.075702,12.575372,4.760000,1.780000,1513029934.000000
FPT,7.250000,-0.684932,6400.000000,46.395,16930725158.700001,7.150000,0.440000,1.663787,0.320000,0.910000,3.752647,6.318052,22.309182,4.380000,16.450000,2319277419.000000
FSMART,6.900000,0.000000,155901.000000,1075.887,5196674970.000000,9.490000,2.790000,1.017858,0.180000,0.360000,19.117213,31.653423,21.340289,5.510000,2.470000,753141300.000000
FSX,1.040000,2.970000,14200.000000,14.481,1184826793.280000,,0.340000,1.018005,,-0.180000,-6.785068,-13.631726,-36.422314,,3.040000,1139256532.000000
FTE,2.700000,0.000000,529600.000000,1429.676,1781999794.800000,11.640000,1.980000,0.526107,0.100000,0.140000,15.277734,17.433264,10.443845,6.300000,1.360000,659999924.000000
FTI,2.040000,0.000000,1000.000000,2.040,918000000.000000,13.070000,1.220000,0.192800,0.040000,0.110000,9.864275,9.538820,11.410556,3.920000,1.670000,450000000.000000
FVC,0.320000,0.000000,2016908.000000,629.283,701079616.640000,,0.530000,0.754216,0.010000,-0.050000,4.864198,-10.842549,-23.002800,,0.600000,2190873802.000000
GABLE,3.920000,-1.010101,26099.000000,102.670,2772084823.200000,7.230000,1.260000,1.894389,0.320000,0.210000,7.958098,17.902750,4.556145,8.080000,3.150000,700021420.000000
GBX,0.700000,0.000000,25100.000000,17.698,762353474.400000,6.680000,0.540000,1.573345,0.004000,0.060000,5.392961,8.446847,12.924667,0.570000,1.290000,1089076392.000000
GC,5.250000,0.000000,11728.000000,62.228,2309999286.000000,7.010000,2.910000,2.187658,0.250000,0.530000,18.933391,45.694680,7.083263,7.810000,1.810000,439999864.000000
GCAP,0.240000,-4.000000,226500.000000,54.370,135474335.000000,,0.330000,1.147370,0.100000,-0.030000,-5.391917,-19.255020,-29.645016,,0.760000,541897340.000000
GEL,0.030000,-25.000000,10100.000000,0.304,344481962.120000,,0.160000,2.105565,,-0.030000,-4.932938,-19.924686,-39.883446,,0.240000,8612049053.000000
GENCO,0.350000,0.000000,19800.000000,6.745,392804168.750000,8.550000,0.350000,0.301186,,0.010000,3.597770,4.088532,4.199793,,1.000000,1122297625.000000
GFC,2.080000,-0.952381,4300.000000,8.958,462000000.000000,,0.870000,0.119004,0.030000,-0.050000,0.630149,-0.413651,-7.893389,6.190000,2.430000,220000000.000000
GFPT,10.700000,1.904762,2304421.000000,24409.561,13165120500.000000,5.780000,0.590000,0.272585,0.200000,0.890000,9.396006,10.642699,12.349395,1.900000,17.870000,1253821000.000000
GGC,6.800000,-3.546099,398530.000000,2738.729,7216850235.000000,52.200000,0.790000,0.209439,0.100000,0.440000,0.876013,1.518956,4.037116,,8.950000,1023666700.000000
GJS,0.110000,-8.333333,16422300.000000,1809.325,3058456187.520000,,0.310000,0.219714,,-0.010000,-4.856824,-5.731943,-1.998557,,0.390000,25487134896.000000
GLAND,0.650000,3.174603,1533770.000000,989.618,,,,0.642258,0.030000,0.030000,2.605305,2.548504,28.675151,,2.510000,6499829661.000000
GLOBAL,6.400000,-1.538462,5598366.000000,36122.405,36412935539.500000,14.120000,1.400000,0.475513,0.184115,0.310000,8.340464,10.159812,10.172403,2.730000,4.640000,5601990083.000000
GLORY,0.840000,3.703704,18207.000000,15.099,219091311.000000,,1.380000,0.166058,0.060000,,-11.527733,-17.485272,1.385116,,0.590000,270483100.000000
GPI,1.770000,0.000000,91100.000000,161.221,1062000000.000000,10.800000,1.170000,0.154461,0.110000,0.370000,12.326389,10.795905,29.400534,9.600000,1.520000,600000000.000000
GPSC,49.750000,-0.995025,5793751.000000,287894.452,141691400691.750000,20.900000,1.340000,1.212462,0.550000,1.250000,4.832536,6.318832,9.634412,2.890000,37.440000,2819729367.000000
GRAMMY,4.740000,-1.250000,3139.000000,15.000,3935758699.200000,57.250000,0.860000,0.645311,0.050000,0.290000,3.411027,1.516442,8.646606,,5.600000,819949729.000000
GRAND,,,,,186822400.460000,,0.470000,24.624513,,-0.030000,-6.311801,-133.601854,-36.099340,,0.040000,9341120023.000000
GREEN,0.780000,0.000000,165200.000000,128.044,638059288.620000,42.480000,0.840000,0.244109,,0.030000,2.824369,2.007616,25.345206,,0.920000,818024729.000000
GSTEEL,,,,,,,,,,-0.020000,-9.933902,,-6.236016,,-0.070000,28928765432.000000
GTB,0.770000,0.000000,11100.000000,8.445,739200000.000000,9.210000,0.880000,0.383905,0.060000,0.040000,8.871402,9.599864,7.547898,7.790000,0.880000,960000000.000000
GTV,0.040000,33.333333,3563400.000000,106.908,393928687.350000,4.660000,0.170000,0.383259,,0.010000,0.935610,3.666324,88.763443,,0.180000,13130956245.000000
GULF,61.500000,-0.404858,7142810.000000,439619.536,922534976925.250000,12.320000,2.920000,1.347406,3.250000,1.440000,12.286494,23.784162,26.858268,5.260000,21.120000,14939837683.000000
GUNKUL,5.150000,-0.961538,24119237.000000,123370.076,46189161064.800003,23.710000,3.000000,1.209360,0.100000,0.120000,8.797671,13.286080,19.190903,2.230000,1.730000,8882530974.000000
GYT,,,,,1372700000.000000,7.180000,0.350000,1.405741,8.000000,12.330000,3.058457,4.920359,2.843158,4.310000,529.940000,7400000.000000
HANA,50.250000,4.687500,26052464.000000,1292563.570,42497599680.000000,72.360000,1.600000,0.218771,0.750000,0.490000,2.004707,2.197512,4.034790,2.080000,30.010000,885366660.000000
HANN,0.820000,0.000000,611395.000000,497.313,459200000.000000,73.970000,1.500000,0.396574,,0.010000,2.740039,2.493943,2.182919,,0.550000,560000000.000000
HARN,1.990000,-0.500000,66700.000000,132.729,1169000000.000000,12.220000,0.850000,0.328864,0.120000,0.090000,6.884329,7.039294,7.822133,6.000000,2.350000,584500000.000000
HENG,0.880000,0.000000,295350.000000,259.743,3352800000.000000,55.560000,0.660000,0.549698,0.026200,0.020000,3.141297,1.186376,11.287978,2.980000,1.330000,3810000000.000000
HFT,4.140000,0.000000,10500.000000,43.466,2725918002.000000,12.700000,0.730000,0.137055,0.270000,0.180000,5.539436,5.746428,8.855122,6.520000,5.680000,658434300.000000
HL,4.480000,-0.444444,37315.000000,167.718,1224000000.000000,18.910000,1.280000,0.588203,0.220000,0.070000,6.175056,6.437665,1.667431,5.040000,3.510000,272000000.000000
HMPRO,6.150000,-1.600000,37746934.000000,232507.899,82194987656.250000,13.640000,3.110000,1.609569,0.160000,0.230000,12.029255,22.982382,8.514383,6.120000,2.010000,13151198025.000000
HPT,,,,,,,,0.441122,0.022300,0.020000,3.801455,3.405696,3.624188,,0.500000,662079341.000000
HTC,15.700000,0.000000,438345.000000,6883.080,6310159700.000000,11.600000,1.460000,0.752067,0.370000,0.750000,9.553225,12.736280,6.665302,6.310000,10.760000,401921000.000000
HTECH,4.620000,0.873362,243100.000000,1122.882,1473766126.260000,26.080000,1.040000,0.217675,0.100000,0.230000,6.681842,4.100109,13.675599,3.460000,4.400000,321782997.000000
HUMAN,4.340000,-0.458716,810820.000000,3490.491,3782053991.360000,11.150000,1.070000,0.178570,0.140000,0.170000,10.516027,9.576583,17.836945,7.360000,4.080000,867443576.000000
HYDRO,0.040000,0.000000,58200.000000,2.168,97633042.240000,,1.770000,10.550899,,-0.040000,1.979477,-18.842190,-111.954853,,0.020000,2440826056.000000
I2,0.790000,1.282051,151610.000000,116.910,327600000.000000,15.480000,0.520000,1.875392,0.022000,0.010000,1.162608,3.397181,1.020119,2.820000,1.500000,420000000.000000
ICC,23.400000,-1.680672,22500.000000,524.570,11900000000.000000,43.310000,0.400000,0.166058,0.700000,0.560000,0.630735,0.924295,6.173889,2.940000,59.770000,500000000.000000
ICHI,13.700000,-0.724638,2253523.000000,31059.431,17940000000.000000,14.120000,3.250000,0.245802,0.450000,0.460000,19.016227,22.638191,14.560568,7.970000,4.250000,1300000000.000000
ICN,2.180000,0.000000,160100.000000,350.126,1465178965.740000,8.730000,1.560000,2.467456,0.090000,0.180000,8.007066,18.519084,5.813629,6.880000,1.400000,672100443.000000
IDG,1.330000,2.307692,154700.000000,205.093,130000000.000000,143.570000,1.100000,0.484969,0.073500,-0.010000,0.579443,1.052881,-1.292772,5.650000,1.190000,100000000.000000
IFS,1.840000,0.000000,15902.000000,29.212,908039954.000000,7.820000,0.490000,1.356205,0.104000,0.090000,4.874389,6.423824,19.130681,5.650000,3.730000,493499975.000000
IHL,1.370000,0.000000,41604.000000,56.798,812143722.690000,13.120000,0.470000,1.360863,0.080000,0.070000,3.585772,3.578375,3.601972,5.840000,2.930000,592805637.000000
IIG,1.340000,-2.898551,14600.000000,19.726,170259717.660000,,0.850000,3.956120,0.400000,-0.270000,-20.260622,-83.468431,-11.369455,,1.620000,123376607.000000
III,5.200000,0.000000,539016.000000,2755.783,4200316224.000000,8.930000,0.970000,0.248442,0.150000,0.300000,9.637594,11.180616,17.639053,4.810000,5.370000,807753120.000000
ILINK,4.880000,0.000000,37700.000000,183.086,2652925746.000000,,0.720000,0.285949,0.310000,0.270000,-5.653375,-12.401633,8.132735,6.350000,6.760000,543632325.000000
ILM,13.900000,-0.714286,12510.000000,173.159,7070000000.000000,9.300000,1.100000,1.097294,0.250000,0.790000,8.779019,12.052609,7.830539,7.140000,12.740000,505000000.000000
IMH,3.660000,0.000000,5500.000000,20.152,867428890.140000,,1.450000,2.195038,0.140000,0.230000,0.527706,-10.005846,11.657905,,2.520000,237002429.000000
IND,0.850000,-2.298851,35600.000000,30.275,304500000.000000,8.470000,0.590000,1.012503,0.073000,0.040000,4.465445,7.071993,3.207471,8.390000,1.470000,350000000.000000
INET,3.820000,0.526316,309806.000000,1176.970,2267613014.600000,7.260000,0.620000,4.452662,0.126000,0.300000,8.248079,8.765138,10.275521,3.320000,6.160000,596740267.000000
INGRS,,,,,,,,2.336385,0.023000,-0.150000,1.799875,-21.250551,-1.680669,,0.720000,1446942690.000000
INOX,3.820000,0.000000,5900.000000,22.538,2977960876.200000,18.430000,0.320000,0.299939,0.023000,0.190000,1.781972,1.772802,2.052598,,11.790000,779570910.000000
INSET,4.440000,0.452489,2951406.000000,12989.492,3592456797.020000,29.180000,2.450000,1.169757,0.050000,0.130000,6.470120,8.604989,7.642161,0.910000,1.800000,812773031.000000
INSURE,46.000000,0.000000,100.000000,4.600,552000000.000000,,0.390000,3.809988,10.000000,-12.860000,-0.706306,-2.844986,-5.373500,,117.420000,12000000.000000
IP,4.900000,-0.809717,261717.000000,1278.830,2990401706.500000,21.800000,1.440000,0.391684,0.073000,0.110000,6.695263,6.732829,7.016721,1.480000,3.440000,605344475.000000
IRC,13.300000,-0.746269,8070.000000,107.345,2575583180.000000,10.310000,0.610000,0.264486,0.493000,1.110000,5.917772,5.968090,6.268812,3.680000,22.120000,192207700.000000
IRCP,0.310000,-3.125000,421804.000000,127.251,199514049.600000,,0.470000,1.445083,0.025000,,-14.966247,-35.995041,0.342400,,0.680000,623481405.000000
IROYAL,4.520000,-2.586207,525500.000000,2376.234,1067200000.000000,7.010000,1.780000,0.065325,0.130400,0.290000,26.697060,26.609780,28.586877,9.270000,2.600000,230000000.000000
IRPC,3.000000,-1.315789,132146642.000000,400150.007,62120634507.839996,5.870000,0.810000,1.749147,0.040000,0.530000,8.094089,14.802391,6.443838,0.330000,3.750000,20434419246.000000
IT,6.600000,-2.941176,44600.000000,296.775,2491512241.200000,8.440000,1.750000,2.158603,0.160000,0.550000,10.036072,22.167741,3.476628,4.260000,3.890000,366398859.000000
ITC,16.600000,-1.190476,1520010.000000,25391.738,50400000000.000000,15.180000,2.120000,0.181871,0.550000,0.570000,12.878889,14.035833,17.160526,5.060000,7.930000,3000000000.000000
ITD,0.340000,0.000000,420700.000000,143.913,1795155440.960000,,0.620000,25.325651,,-0.100000,-6.398729,-113.815021,-3.251290,,0.550000,5279868944.000000
ITEL,1.470000,-2.000000,950203.000000,1405.457,3127723302.000000,,0.620000,0.915948,0.069600,0.030000,-0.087611,-3.392744,4.004818,,2.510000,2085148868.000000
ITNS,2.460000,-2.380952,151900.000000,374.086,526680000.000000,13.240000,1.180000,0.450435,0.167000,0.060000,8.458974,8.988524,3.640352,6.630000,2.130000,209000000.000000
ITTHI,1.250000,1.626016,212101.000000,264.190,332346000.000000,18.860000,0.930000,0.324347,0.100000,0.030000,5.190324,4.882699,2.477702,8.130000,1.320000,270200000.000000
IVF,0.760000,2.702703,73900.000000,55.174,325600300.440000,,0.640000,0.138659,0.024000,-0.040000,-4.491994,-4.407128,-51.515053,,1.160000,440000406.000000
IVL,29.250000,0.000000,26845818.000000,793243.941,164225643309.000000,,1.240000,2.909223,0.200000,0.480000,2.513000,-1.795565,1.664599,2.390000,23.580000,5614551908.000000
J,0.790000,-1.250000,95600.000000,75.763,1168585022.400000,,0.410000,1.120722,0.030000,-0.080000,-8.936488,-23.614287,-31.962738,,1.970000,1460731278.000000
JAK,1.180000,0.000000,3000.000000,3.540,377600000.000000,5.490000,0.710000,0.527340,0.055000,0.120000,12.282866,13.517371,16.026423,4.660000,1.670000,320000000.000000
JAS,0.890000,0.000000,3477371.000000,3092.881,7379946487.450000,,1.420000,1.226418,0.600000,-0.180000,-10.335262,-28.976522,-53.023173,,0.630000,8292074705.000000
JCK,0.100000,-16.666667,9048800.000000,1000.377,456329682.120000,,0.180000,2.831847,,-0.050000,1.248978,-11.061833,-46.338107,,0.660000,3802747351.000000
JCT,83.000000,-2.350000,900.000000,75.150,1120500000.000000,8.950000,0.770000,0.140278,4.800000,5.540000,9.198821,8.806763,16.127453,5.780000,107.430000,13500000.000000
